DATE,TMAX,TMIN
2023-10-30,53.214285714285715,34.857142857142854
2023-10-31,46.285714285714285,28.714285714285715
2023-11-01,46.0,28.785714285714285
2023-11-02,52.857142857142854,27.642857142857142
2023-11-03,62.57142857142857,34.5
2023-11-04,64.35714285714286,41.642857142857146
2023-11-05,62.357142857142854,39.0
2023-11-06,69.5,37.0
2023-11-07,68.07142857142857,45.5
2023-11-08,69.42857142857143,40.285714285714285
2023-11-09,68.42857142857143,45.07142857142857
2023-11-10,57.57142857142857,38.5
2023-11-11,51.642857142857146,31.642857142857142
2023-11-12,55.92307692307692,31.857142857142858
2023-11-13,62.61538461538461,31.0
2023-11-14,58.92307692307692,31.384615384615383
2023-11-15,66.92857142857143,32.0
2023-11-16,68.42857142857143,35.142857142857146
2023-11-17,63.642857142857146,43.07142857142857
2023-11-18,52.57142857142857,31.857142857142858
2023-11-19,56.5,30.285714285714285
2023-11-20,48.42857142857143,33.785714285714285
2023-11-21,51.714285714285715,41.42857142857143
2023-11-22,50.142857142857146,36.07142857142857
2023-11-23,50.214285714285715,32.642857142857146
2023-11-24,41.92857142857143,27.642857142857142
2023-11-25,42.857142857142854,23.857142857142858
2023-11-26,47.69230769230769,28.46153846153846
2023-11-27,39.642857142857146,27.857142857142858
2023-11-28,32.0,18.785714285714285
2023-11-29,42.285714285714285,16.857142857142858
2023-11-30,55.5,28.428571428571427
2023-12-01,52.285714285714285,40.642857142857146
2023-12-02,54.785714285714285,44.357142857142854
2023-12-03,52.785714285714285,39.5
2023-12-04,46.357142857142854,33.214285714285715
2023-12-05,43.0,33.642857142857146
2023-12-06,43.0,30.5
2023-12-07,52.285714285714285,30.714285714285715
2023-12-08,60.142857142857146,36.714285714285715
2023-12-09,60.0,44.5
2023-12-10,52.57142857142857,33.42857142857143
2023-12-11,38.785714285714285,28.5
2023-12-12,48.214285714285715,26.0
2023-12-13,43.142857142857146,23.785714285714285
2023-12-14,48.142857142857146,22.285714285714285
2023-12-15,55.357142857142854,26.571428571428573
2023-12-16,57.5,28.785714285714285
2023-12-17,52.92857142857143,41.714285714285715
2023-12-18,44.5,28.714285714285715
2023-12-19,36.642857142857146,23.785714285714285
2023-12-20,46.214285714285715,22.714285714285715
2023-12-21,48.357142857142854,28.714285714285715
2023-12-22,50.142857142857146,33.142857142857146
2023-12-23,51.214285714285715,39.07142857142857
2023-12-24,55.92857142857143,42.07142857142857
2023-12-25,59.285714285714285,39.785714285714285
2023-12-26,56.785714285714285,45.357142857142854
2023-12-27,52.0,40.285714285714285
2023-12-28,46.07142857142857,36.07142857142857
2023-12-29,40.642857142857146,31.714285714285715
2023-12-30,41.642857142857146,34.142857142857146
2023-12-31,40.785714285714285,32.857142857142854
2024-01-01,38.142857142857146,30.714285714285715
2024-01-02,36.92857142857143,27.785714285714285
2024-01-03,40.214285714285715,26.571428571428573
2024-01-04,35.642857142857146,23.5
2024-01-05,37.92857142857143,19.214285714285715
2024-01-06,39.42857142857143,28.428571428571427
2024-01-07,37.214285714285715,32.285714285714285
2024-01-08,38.642857142857146,28.571428571428573
2024-01-09,49.642857142857146,32.92857142857143
2024-01-10,40.285714285714285,31.857142857142858
2024-01-11,44.142857142857146,27.714285714285715
2024-01-12,46.785714285714285,25.357142857142858
2024-01-13,40.142857142857146,20.428571428571427
2024-01-14,25.0,7.428571428571429
2024-01-15,16.5,4.857142857142857
2024-01-16,18.142857142857142,6.5
2024-01-17,24.785714285714285,5.642857142857143
2024-01-18,31.142857142857142,18.785714285714285
2024-01-19,26.714285714285715,13.785714285714286
2024-01-20,19.285714285714285,8.071428571428571
2024-01-21,27.0,9.571428571428571
2024-01-22,41.357142857142854,11.928571428571429
2024-01-23,45.357142857142854,32.42857142857143
2024-01-24,54.0,39.285714285714285
2024-01-25,56.642857142857146,47.285714285714285
2024-01-26,58.785714285714285,43.0
2024-01-27,47.07692307692308,40.46153846153846
2024-01-28,46.785714285714285,34.92857142857143
2024-01-29,38.92857142857143,32.857142857142854
2024-01-30,41.285714285714285,32.5
2024-01-31,43.38461538461539,34.61538461538461
